Time,l_per,l_abs,b_per,b_abs
1615972661,37.1,418,20.8,163
1615972661,38.9,439,23.1,181
1615972667,39.5,445,24.6,192
1615972675,39.5,446,24.8,194
1615972680,40.3,455,25.3,198
1615972693,40.9,461,25.4,199
1615972723,41.7,470,25.8,202
1615972739,42.2,476,26.3,206
1615972765,42.5,479,26.5,207
1615972777,42.5,479,26.5,207
1615972789,42.7,482,26.6,208
1615972821,42.7,482,26.6,208
1615972848,44.0,496,27.2,213
1615972874,44.0,496,27.2,213
1615972923,44.3,500,27.4,214
1615972961,44.3,500,27.4,214
1615973007,44.7,504,27.7,217
1615973018,44.8,505,28.0,219
1615973032,45.3,511,28.5,223
1615973048,45.6,514,28.6,224
1615973069,45.8,517,29.0,227
1615973093,46.3,522,29.7,232
1615973141,47.5,536,31.1,243
1615973157,47.7,538,31.3,245
1615973194,50.4,569,32.9,257
1615973219,50.8,573,33.0,258
1615973248,51.3,579,33.5,262
1615973286,51.8,584,33.9,265
1615973351,52.4,591,34.7,271
1615973398,52.9,597,35.0,274
1615973432,53.7,606,36.2,283
1615973467,56.6,639,38.0,297
1615973619,56.8,641,38.2,299
1615973773,56.8,641,38.4,300
1615973929,57.0,643,38.6,302
1615974080,57.4,647,38.9,304
1615974120,57.4,647,38.9,304
1615974149,57.4,647,38.9,304
1615974213,57.4,647,38.9,304
1615974260,57.4,647,38.9,304
1615974402,58.1,655,39.6,310
1615974548,58.4,659,39.9,312
1615974808,58.7,662,40.0,313
1615974979,58.9,664,40.3,315
1615975034,58.9,664,40.3,315
1615975132,59.0,665,40.4,316
1615975246,59.1,667,40.5,317
1615975542,59.3,669,40.7,318
1615975836,59.3,669,40.7,318
1615976091,59.3,669,40.7,318
1615976185,59.3,669,40.7,318
