time,subject,fuzzer,run,cov_type,cov
1615972661,lightftp,aflnet,1,l_per,37.1
1615972661,lightftp,aflnet,1,l_abs,418
1615972661,lightftp,aflnet,1,b_per,20.8
1615972661,lightftp,aflnet,1,b_abs,163
1615972661,lightftp,aflnet,1,l_per,38.9
1615972661,lightftp,aflnet,1,l_abs,439
1615972661,lightftp,aflnet,1,b_per,23.1
1615972661,lightftp,aflnet,1,b_abs,181
1615972667,lightftp,aflnet,1,l_per,39.5
1615972667,lightftp,aflnet,1,l_abs,445
1615972667,lightftp,aflnet,1,b_per,24.6
1615972667,lightftp,aflnet,1,b_abs,192
1615972675,lightftp,aflnet,1,l_per,39.5
1615972675,lightftp,aflnet,1,l_abs,446
1615972675,lightftp,aflnet,1,b_per,24.8
1615972675,lightftp,aflnet,1,b_abs,194
1615972680,lightftp,aflnet,1,l_per,40.3
1615972680,lightftp,aflnet,1,l_abs,455
1615972680,lightftp,aflnet,1,b_per,25.3
1615972680,lightftp,aflnet,1,b_abs,198
1615972693,lightftp,aflnet,1,l_per,40.9
1615972693,lightftp,aflnet,1,l_abs,461
1615972693,lightftp,aflnet,1,b_per,25.4
1615972693,lightftp,aflnet,1,b_abs,199
1615972723,lightftp,aflnet,1,l_per,41.7
1615972723,lightftp,aflnet,1,l_abs,470
1615972723,lightftp,aflnet,1,b_per,25.8
1615972723,lightftp,aflnet,1,b_abs,202
1615972739,lightftp,aflnet,1,l_per,42.2
1615972739,lightftp,aflnet,1,l_abs,476
1615972739,lightftp,aflnet,1,b_per,26.3
1615972739,lightftp,aflnet,1,b_abs,206
1615972765,lightftp,aflnet,1,l_per,42.5
1615972765,lightftp,aflnet,1,l_abs,479
1615972765,lightftp,aflnet,1,b_per,26.5
1615972765,lightftp,aflnet,1,b_abs,207
1615972777,lightftp,aflnet,1,l_per,42.5
1615972777,lightftp,aflnet,1,l_abs,479
1615972777,lightftp,aflnet,1,b_per,26.5
1615972777,lightftp,aflnet,1,b_abs,207
1615972789,lightftp,aflnet,1,l_per,42.7
1615972789,lightftp,aflnet,1,l_abs,482
1615972789,lightftp,aflnet,1,b_per,26.6
1615972789,lightftp,aflnet,1,b_abs,208
1615972821,lightftp,aflnet,1,l_per,42.7
1615972821,lightftp,aflnet,1,l_abs,482
1615972821,lightftp,aflnet,1,b_per,26.6
1615972821,lightftp,aflnet,1,b_abs,208
1615972848,lightftp,aflnet,1,l_per,44.0
1615972848,lightftp,aflnet,1,l_abs,496
1615972848,lightftp,aflnet,1,b_per,27.2
1615972848,lightftp,aflnet,1,b_abs,213
1615972874,lightftp,aflnet,1,l_per,44.0
1615972874,lightftp,aflnet,1,l_abs,496
1615972874,lightftp,aflnet,1,b_per,27.2
1615972874,lightftp,aflnet,1,b_abs,213
1615972923,lightftp,aflnet,1,l_per,44.3
1615972923,lightftp,aflnet,1,l_abs,500
1615972923,lightftp,aflnet,1,b_per,27.4
1615972923,lightftp,aflnet,1,b_abs,214
1615972961,lightftp,aflnet,1,l_per,44.3
1615972961,lightftp,aflnet,1,l_abs,500
1615972961,lightftp,aflnet,1,b_per,27.4
1615972961,lightftp,aflnet,1,b_abs,214
1615973007,lightftp,aflnet,1,l_per,44.7
1615973007,lightftp,aflnet,1,l_abs,504
1615973007,lightftp,aflnet,1,b_per,27.7
1615973007,lightftp,aflnet,1,b_abs,217
1615973018,lightftp,aflnet,1,l_per,44.8
1615973018,lightftp,aflnet,1,l_abs,505
1615973018,lightftp,aflnet,1,b_per,28.0
1615973018,lightftp,aflnet,1,b_abs,219
1615973032,lightftp,aflnet,1,l_per,45.3
1615973032,lightftp,aflnet,1,l_abs,511
1615973032,lightftp,aflnet,1,b_per,28.5
1615973032,lightftp,aflnet,1,b_abs,223
1615973048,lightftp,aflnet,1,l_per,45.6
1615973048,lightftp,aflnet,1,l_abs,514
1615973048,lightftp,aflnet,1,b_per,28.6
1615973048,lightftp,aflnet,1,b_abs,224
1615973069,lightftp,aflnet,1,l_per,45.8
1615973069,lightftp,aflnet,1,l_abs,517
1615973069,lightftp,aflnet,1,b_per,29.0
1615973069,lightftp,aflnet,1,b_abs,227
1615973093,lightftp,aflnet,1,l_per,46.3
1615973093,lightftp,aflnet,1,l_abs,522
1615973093,lightftp,aflnet,1,b_per,29.7
1615973093,lightftp,aflnet,1,b_abs,232
1615973141,lightftp,aflnet,1,l_per,47.5
1615973141,lightftp,aflnet,1,l_abs,536
1615973141,lightftp,aflnet,1,b_per,31.1
1615973141,lightftp,aflnet,1,b_abs,243
1615973157,lightftp,aflnet,1,l_per,47.7
1615973157,lightftp,aflnet,1,l_abs,538
1615973157,lightftp,aflnet,1,b_per,31.3
1615973157,lightftp,aflnet,1,b_abs,245
1615973194,lightftp,aflnet,1,l_per,50.4
1615973194,lightftp,aflnet,1,l_abs,569
1615973194,lightftp,aflnet,1,b_per,32.9
1615973194,lightftp,aflnet,1,b_abs,257
1615973219,lightftp,aflnet,1,l_per,50.8
1615973219,lightftp,aflnet,1,l_abs,573
1615973219,lightftp,aflnet,1,b_per,33.0
1615973219,lightftp,aflnet,1,b_abs,258
1615973248,lightftp,aflnet,1,l_per,51.3
1615973248,lightftp,aflnet,1,l_abs,579
1615973248,lightftp,aflnet,1,b_per,33.5
1615973248,lightftp,aflnet,1,b_abs,262
1615973286,lightftp,aflnet,1,l_per,51.8
1615973286,lightftp,aflnet,1,l_abs,584
1615973286,lightftp,aflnet,1,b_per,33.9
1615973286,lightftp,aflnet,1,b_abs,265
1615973351,lightftp,aflnet,1,l_per,52.4
1615973351,lightftp,aflnet,1,l_abs,591
1615973351,lightftp,aflnet,1,b_per,34.7
1615973351,lightftp,aflnet,1,b_abs,271
1615973398,lightftp,aflnet,1,l_per,52.9
1615973398,lightftp,aflnet,1,l_abs,597
1615973398,lightftp,aflnet,1,b_per,35.0
1615973398,lightftp,aflnet,1,b_abs,274
1615973432,lightftp,aflnet,1,l_per,53.7
1615973432,lightftp,aflnet,1,l_abs,606
1615973432,lightftp,aflnet,1,b_per,36.2
1615973432,lightftp,aflnet,1,b_abs,283
1615973467,lightftp,aflnet,1,l_per,56.6
1615973467,lightftp,aflnet,1,l_abs,639
1615973467,lightftp,aflnet,1,b_per,38.0
1615973467,lightftp,aflnet,1,b_abs,297
1615973619,lightftp,aflnet,1,l_per,56.8
1615973619,lightftp,aflnet,1,l_abs,641
1615973619,lightftp,aflnet,1,b_per,38.2
1615973619,lightftp,aflnet,1,b_abs,299
1615973773,lightftp,aflnet,1,l_per,56.8
1615973773,lightftp,aflnet,1,l_abs,641
1615973773,lightftp,aflnet,1,b_per,38.4
1615973773,lightftp,aflnet,1,b_abs,300
1615973929,lightftp,aflnet,1,l_per,57.0
1615973929,lightftp,aflnet,1,l_abs,643
1615973929,lightftp,aflnet,1,b_per,38.6
1615973929,lightftp,aflnet,1,b_abs,302
1615974080,lightftp,aflnet,1,l_per,57.4
1615974080,lightftp,aflnet,1,l_abs,647
1615974080,lightftp,aflnet,1,b_per,38.9
1615974080,lightftp,aflnet,1,b_abs,304
1615974120,lightftp,aflnet,1,l_per,57.4
1615974120,lightftp,aflnet,1,l_abs,647
1615974120,lightftp,aflnet,1,b_per,38.9
1615974120,lightftp,aflnet,1,b_abs,304
1615974149,lightftp,aflnet,1,l_per,57.4
1615974149,lightftp,aflnet,1,l_abs,647
1615974149,lightftp,aflnet,1,b_per,38.9
1615974149,lightftp,aflnet,1,b_abs,304
1615974213,lightftp,aflnet,1,l_per,57.4
1615974213,lightftp,aflnet,1,l_abs,647
1615974213,lightftp,aflnet,1,b_per,38.9
1615974213,lightftp,aflnet,1,b_abs,304
1615974260,lightftp,aflnet,1,l_per,57.4
1615974260,lightftp,aflnet,1,l_abs,647
1615974260,lightftp,aflnet,1,b_per,38.9
1615974260,lightftp,aflnet,1,b_abs,304
1615974402,lightftp,aflnet,1,l_per,58.1
1615974402,lightftp,aflnet,1,l_abs,655
1615974402,lightftp,aflnet,1,b_per,39.6
1615974402,lightftp,aflnet,1,b_abs,310
1615974548,lightftp,aflnet,1,l_per,58.4
1615974548,lightftp,aflnet,1,l_abs,659
1615974548,lightftp,aflnet,1,b_per,39.9
